Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Area [J]	Lower Bound [m]	Upper Bound [m]
map-data-2025.06.06-11.56.16.356_0588.jpk-force	588	4.66811e-06	1.69292e-05	2.35721e-09		5.10758e-10	-5.10758e-10	1.10498e-05	7.66026e-16	1.00139e-05	1.46103e-05
map-data-2025.06.06-11.56.16.356_0589.jpk-force	589	5.44936e-06	1.69292e-05	2.36745e-09		2.26732e-10	-2.26732e-10	1.09757e-05	5.75102e-16	1.09456e-05	1.57465e-05
map-data-2025.06.06-11.56.16.356_0590.jpk-force	590	6.23061e-06	1.69292e-05	2.37945e-09		5.25533e-10	-5.25533e-10	1.15367e-05	6.44592e-16	1.14379e-05	1.60560e-05
map-data-2025.06.06-11.56.16.356_0591.jpk-force	591	7.01186e-06	1.69292e-05	2.38550e-09		5.19183e-10	-5.19183e-10	1.20772e-05	5.50786e-16	1.19277e-05	1.61271e-05
map-data-2025.06.06-11.56.16.356_0592.jpk-force	592	7.79311e-06	1.69292e-05	2.38982e-09		1.59916e-09	-1.59916e-09	1.23064e-05	5.50575e-16	1.22235e-05	1.61657e-05
map-data-2025.06.06-11.56.16.356_0593.jpk-force	593	8.57436e-06	1.69292e-05	2.39065e-09		3.49973e-10	-3.49973e-10	1.27405e-05	4.78461e-16	1.24691e-05	1.61904e-05
map-data-2025.06.06-11.56.16.356_0594.jpk-force	594	9.35561e-06	1.69292e-05	2.38816e-09		3.11816e-10	-3.11816e-10	1.28160e-05	4.16084e-16	1.27155e-05	1.62094e-05
map-data-2025.06.06-11.56.16.356_0595.jpk-force	595	1.01369e-05	1.69292e-05	2.39593e-09		2.03853e-10	-2.03853e-10	1.32426e-05	4.15087e-16	1.28602e-05	1.62249e-05
map-data-2025.06.06-11.56.16.356_0596.jpk-force	596	1.09181e-05	1.69292e-05	2.39770e-09		3.03027e-10	-3.03027e-10	1.31542e-05	3.99690e-16	1.30558e-05	1.62367e-05
map-data-2025.06.06-11.56.16.356_0597.jpk-force	597	1.16994e-05	1.69292e-05	2.39347e-09		3.97870e-10	-3.97870e-10	1.32504e-05	3.98733e-16	1.31516e-05	1.62479e-05
map-data-2025.06.06-11.56.16.356_0598.jpk-force	598	1.24806e-05	1.69292e-05	2.39169e-09		2.18118e-10	-2.18118e-10	1.33259e-05	3.67850e-16	1.31715e-05	1.62551e-05
map-data-2025.06.06-11.56.16.356_0599.jpk-force	599	1.32619e-05	1.69292e-05	2.39741e-09		3.60860e-10	-3.60860e-10	1.35136e-05	4.04938e-16	1.32542e-05	1.62629e-05
map-data-2025.06.06-11.56.16.356_0600.jpk-force	600	1.40431e-05	1.69292e-05	2.39195e-09		2.03148e-10	-2.03148e-10	1.42360e-05	3.69916e-16	1.32337e-05	1.62682e-05
map-data-2025.06.06-11.56.16.356_0601.jpk-force	601	1.48244e-05	1.69292e-05	2.39522e-09		2.13451e-10	-2.13451e-10	1.32385e-05	3.76168e-16	1.31497e-05	1.62714e-05
map-data-2025.06.06-11.56.16.356_0602.jpk-force	602	1.56056e-05	1.69292e-05	2.39792e-09		3.39353e-10	-3.39353e-10	1.31528e-05	3.95444e-16	1.30478e-05	1.62739e-05
map-data-2025.06.06-11.56.16.356_0603.jpk-force	603	1.63869e-05	1.69292e-05	2.39563e-09		3.06391e-10	-3.06391e-10	1.31969e-05	4.27042e-16	1.28803e-05	1.62750e-05
map-data-2025.06.06-11.56.16.356_0604.jpk-force	604	1.71681e-05	1.69292e-05	2.39710e-09		7.37841e-10	-7.37841e-10	1.32675e-05	5.55583e-16	1.28357e-05	1.62764e-05
map-data-2025.06.06-11.56.16.356_0605.jpk-force	605	1.79494e-05	1.69292e-05	2.39673e-09		3.51643e-10	-3.51643e-10	1.25826e-05	4.94321e-16	1.24787e-05	1.62711e-05
map-data-2025.06.06-11.56.16.356_0606.jpk-force	606	1.87306e-05	1.69292e-05	2.39928e-09		2.39028e-10	-2.39028e-10	1.22176e-05	5.22350e-16	1.21305e-05	1.62651e-05
map-data-2025.06.06-11.56.16.356_0607.jpk-force	607	1.95119e-05	1.69292e-05	2.39989e-09		5.21268e-10	-5.21268e-10	1.13729e-05	6.72967e-16	1.12785e-05	1.60837e-05
map-data-2025.06.06-11.56.16.356_0608.jpk-force	608	1.95119e-05	1.77105e-05	2.39079e-09		1.12692e-09	-1.12692e-09	1.01756e-05	8.26683e-16	1.00588e-05	1.49080e-05
map-data-2025.06.06-11.56.16.356_0609.jpk-force	609	1.87306e-05	1.77105e-05	2.39366e-09		7.80238e-10	-7.80238e-10	1.13219e-05	6.77989e-16	1.10643e-05	1.58833e-05
map-data-2025.06.06-11.56.16.356_0610.jpk-force	610	1.79494e-05	1.77105e-05	2.39877e-09		3.57664e-10	-3.57664e-10	1.20221e-05	5.46283e-16	1.19279e-05	1.62194e-05
map-data-2025.06.06-11.56.16.356_0611.jpk-force	611	1.71681e-05	1.77105e-05	2.40589e-09		2.22435e-09	-2.22435e-09	1.23742e-05	4.91293e-16	1.23770e-05	1.62467e-05
map-data-2025.06.06-11.56.16.356_0612.jpk-force	612	1.63869e-05	1.77105e-05	2.40393e-09		3.34770e-10	-3.34770e-10	1.27924e-05	4.45718e-16	1.26353e-05	1.62613e-05
map-data-2025.06.06-11.56.16.356_0613.jpk-force	613	1.56056e-05	1.77105e-05	2.40939e-09		2.00384e-10	-2.00384e-10	1.30907e-05	4.11851e-16	1.28211e-05	1.62710e-05
map-data-2025.06.06-11.56.16.356_0614.jpk-force	614	1.48244e-05	1.77105e-05	2.41348e-09		3.07397e-10	-3.07397e-10	1.30306e-05	4.21288e-16	1.29342e-05	1.62779e-05
map-data-2025.06.06-11.56.16.356_0615.jpk-force	615	1.40431e-05	1.77105e-05	2.41263e-09		2.81170e-10	-2.81170e-10	1.31892e-05	3.79913e-16	1.30187e-05	1.62850e-05
map-data-2025.06.06-11.56.16.356_0616.jpk-force	616	1.32619e-05	1.77105e-05	2.41925e-09		3.70564e-10	-3.70564e-10	1.33239e-05	4.02629e-16	1.30849e-05	1.62904e-05
map-data-2025.06.06-11.56.16.356_0617.jpk-force	617	1.24806e-05	1.77105e-05	2.42133e-09		3.86004e-10	-3.86004e-10	1.33382e-05	4.08304e-16	1.31573e-05	1.62937e-05
map-data-2025.06.06-11.56.16.356_0618.jpk-force	618	1.16994e-05	1.77105e-05	2.41678e-09		4.15784e-10	-4.15784e-10	1.32905e-05	4.13326e-16	1.31263e-05	1.62965e-05
map-data-2025.06.06-11.56.16.356_0619.jpk-force	619	1.09181e-05	1.77105e-05	2.41806e-09		3.21095e-10	-3.21095e-10	1.30323e-05	3.81390e-16	1.30098e-05	1.62983e-05
map-data-2025.06.06-11.56.16.356_0620.jpk-force	620	1.01369e-05	1.77105e-05	2.42462e-09		1.96637e-10	-1.96637e-10	1.34689e-05	4.05895e-16	1.29494e-05	1.62990e-05
map-data-2025.06.06-11.56.16.356_0621.jpk-force	621	9.35561e-06	1.77105e-05	2.42661e-09		7.12471e-10	-7.12471e-10	1.31628e-05	4.82393e-16	1.28625e-05	1.62977e-05
map-data-2025.06.06-11.56.16.356_0622.jpk-force	622	8.57436e-06	1.77105e-05	2.42416e-09		3.80683e-10	-3.80683e-10	1.27140e-05	4.92089e-16	1.25912e-05	1.62953e-05
map-data-2025.06.06-11.56.16.356_0623.jpk-force	623	7.79311e-06	1.77105e-05	2.42616e-09		4.89361e-10	-4.89361e-10	1.26179e-05	5.34122e-16	1.24546e-05	1.62919e-05
map-data-2025.06.06-11.56.16.356_0624.jpk-force	624	7.01186e-06	1.77105e-05	2.42336e-09		3.68771e-10	-3.68771e-10	1.22454e-05	5.29102e-16	1.21585e-05	1.62869e-05
map-data-2025.06.06-11.56.16.356_0625.jpk-force	625	6.23061e-06	1.77105e-05	2.42962e-09		2.46731e-10	-2.46731e-10	1.19051e-05	5.81499e-16	1.17567e-05	1.62805e-05
map-data-2025.06.06-11.56.16.356_0626.jpk-force	626	5.44936e-06	1.77105e-05	2.43200e-09		5.68538e-10	-5.68538e-10	1.12348e-05	6.63049e-16	1.11833e-05	1.60034e-05
map-data-2025.06.06-11.56.16.356_0627.jpk-force	627	4.66811e-06	1.77105e-05	2.42658e-09		4.49132e-10	-4.49132e-10	1.07078e-05	7.02987e-16	1.02008e-05	1.48920e-05
map-data-2025.06.06-11.56.16.356_0628.jpk-force	628	3.88686e-06	1.77105e-05	2.42329e-09		2.60835e-10	-2.60835e-10	1.02344e-05	6.91883e-16	9.58114e-06	1.43824e-05
map-data-2025.06.06-11.56.16.356_0629.jpk-force	629	3.10561e-06	1.77105e-05	2.41012e-09		6.46176e-10	-6.46176e-10	9.25238e-06	1.23234e-15	8.25302e-06	1.28190e-05
map-data-2025.06.06-11.56.16.356_0630.jpk-force	630	2.32436e-06	1.77105e-05	2.39712e-09		1.57864e-09	-1.57864e-09	4.98153e-06	1.81128e-15	4.73960e-06	9.53329e-06
map-data-2025.06.06-11.56.16.356_0631.jpk-force	631	1.54311e-06	1.77105e-05	2.46384e-09		7.38053e-10	-7.38053e-10	3.18633e-06	2.11402e-15	9.25453e-07	5.73870e-06
map-data-2025.06.06-11.56.16.356_0632.jpk-force	632	7.61859e-07	1.77105e-05	2.33638e-09		2.25062e-10	-2.25062e-10	2.17170e-06	6.72054e-16	9.16086e-07	5.71218e-06
map-data-2025.06.06-11.56.16.356_0633.jpk-force	633	-1.93924e-08	1.77105e-05	2.33120e-09		2.71615e-10	-2.71615e-10	9.38627e-07	6.85797e-16	9.06412e-07	5.70336e-06
map-data-2025.06.06-11.56.16.356_0634.jpk-force	634	-8.00641e-07	1.77105e-05	2.32539e-09		2.18236e-10	-2.18236e-10	1.65267e-06	6.66193e-16	8.95673e-07	5.69442e-06
map-data-2025.06.06-11.56.16.356_0635.jpk-force	635	-1.58189e-06	1.77105e-05	2.32155e-09		2.40143e-10	-2.40143e-10	9.19279e-07	6.81515e-16	8.85336e-07	5.67985e-06
map-data-2025.06.06-11.56.16.356_0636.jpk-force	636	-2.36314e-06	1.77105e-05	2.32407e-09		2.88936e-10	-2.88936e-10	9.79950e-07	6.88579e-16	8.75686e-07	5.67088e-06
map-data-2025.06.06-11.56.16.356_0637.jpk-force	637	-3.14439e-06	1.77105e-05	2.32146e-09		2.68580e-10	-2.68580e-10	1.06084e-06	6.76863e-16	8.52884e-07	5.64259e-06
map-data-2025.06.06-11.56.16.356_0638.jpk-force	638	-3.92564e-06	1.77105e-05	2.32322e-09		3.80021e-10	-3.80021e-10	8.88932e-07	6.80704e-16	8.29727e-07	5.62809e-06
map-data-2025.06.06-11.56.16.356_0639.jpk-force	639	-4.70689e-06	1.77105e-05	2.32349e-09		2.34111e-10	-2.34111e-10	8.83515e-07	6.93834e-16	8.34434e-07	5.62185e-06
map-data-2025.06.06-11.56.16.356_0640.jpk-force	640	-4.70689e-06	1.84917e-05	2.32207e-09		4.09681e-10	-4.09681e-10	8.74550e-07	6.64919e-16	8.42098e-07	5.63427e-06
map-data-2025.06.06-11.56.16.356_0641.jpk-force	641	-3.92564e-06	1.84917e-05	2.32342e-09		3.25455e-10	-3.25455e-10	8.93189e-07	6.77204e-16	8.38124e-07	5.62443e-06
map-data-2025.06.06-11.56.16.356_0642.jpk-force	642	-3.14439e-06	1.84917e-05	2.32233e-09		3.33137e-10	-3.33137e-10	8.75710e-07	7.07746e-16	8.58301e-07	5.64995e-06
map-data-2025.06.06-11.56.16.356_0643.jpk-force	643	-2.36314e-06	1.84917e-05	2.32006e-09		3.31609e-10	-3.31609e-10	9.01610e-07	6.83449e-16	8.81647e-07	5.66918e-06
map-data-2025.06.06-11.56.16.356_0644.jpk-force	644	-1.58189e-06	1.84917e-05	2.31757e-09		4.43006e-10	-4.43006e-10	9.27392e-07	6.51377e-16	8.98346e-07	5.68666e-06
map-data-2025.06.06-11.56.16.356_0645.jpk-force	645	-8.00641e-07	1.84917e-05	2.32314e-09		3.49793e-10	-3.49793e-10	9.20627e-07	6.68754e-16	8.98015e-07	5.68706e-06
map-data-2025.06.06-11.56.16.356_0646.jpk-force	646	-1.93924e-08	1.84917e-05	2.32720e-09		7.46035e-10	-7.46035e-10	1.09001e-06	6.86850e-16	9.06530e-07	5.69491e-06
map-data-2025.06.06-11.56.16.356_0647.jpk-force	647	7.61859e-07	1.84917e-05	2.33607e-09		2.84806e-10	-2.84806e-10	9.20036e-07	7.19474e-16	9.12514e-07	5.70024e-06
map-data-2025.06.06-11.56.16.356_0648.jpk-force	648	1.54311e-06	1.84917e-05	2.41080e-09		3.85854e-10	-3.85854e-10	4.45408e-06	1.26396e-15	9.24293e-07	5.71443e-06
map-data-2025.06.06-11.56.16.356_0649.jpk-force	649	2.32436e-06	1.84917e-05	2.40858e-09		1.05576e-09	-1.05576e-09	5.35390e-06	2.35339e-15	4.78000e-06	9.53052e-06
map-data-2025.06.06-11.56.16.356_0650.jpk-force	650	3.10561e-06	1.84917e-05	2.60276e-09		1.07175e-09	-1.07175e-09	9.49525e-06	2.12670e-15	8.56634e-06	1.32879e-05
map-data-2025.06.06-11.56.16.356_0651.jpk-force	651	3.88686e-06	1.84917e-05	2.40139e-09		3.58578e-10	-3.58578e-10	1.09382e-05	6.02242e-16	1.00267e-05	1.46522e-05
map-data-2025.06.06-11.56.16.356_0652.jpk-force	652	4.66811e-06	1.84917e-05	2.42226e-09		3.50466e-10	-3.50466e-10	1.08529e-05	5.95214e-16	1.07488e-05	1.54772e-05
